variable,estimate,standard_error,z_value,p_value
(Intercept),-11.098724900281226,0.29510709982866384,-37.609142263012416,0
PM2.5_concentration,0.06749956893857556,0.03491202096963671,1.9334191222353045,0.053184587480198504
"factor(population_density_quantile)(186,7.22e+04]",0.11378941432611804,0.13780851840214406,0.8257066808748716,0.40897050153031345
"factor(population_density_quantile)(33,67]",-0.03866776231274616,0.102627653860351,-0.3767772219109941,0.7063391696526728
"factor(population_density_quantile)(67,186]",-0.02071127671961411,0.11243507140658406,-0.1842065510388539,0.8538514204374191
"factor(population_density_quantile)[0.0385,12.5]",0.15605556833354586,0.1695587861672435,0.9203626179514,0.3573832966312451
scale(proportion_poor),0.27543319892166557,0.08953488741983845,3.07626676995896,0.0020961021598283275
scale(log(median_house_value)),0.1427379932763965,0.08847873348548997,1.6132463435386397,0.10669099864632156
scale(log(median_household_income)),0.3967392402249801,0.11882794316185362,3.338770575912334,8.415003282436677e-4
scale(proportion_owner_occupied),0.031682396565373756,0.053655528379033764,0.590477766644338,0.5548703872884502
scale(proportion_no_high_school),0.3862405875451069,0.06882419928834897,5.6119881021339,2.000151936642085e-8
scale(proportion_black),0.4200802799225996,0.04817131279124667,8.7205487162669435,2.768567956062861e-18
scale(proportion_hispanic),-0.11766586035385869,0.06405274856686706,-1.8370150069520108,0.06620768000710572
scale(proportion_65_and_over),0.30828021173635145,0.08839289019164616,3.487613212645992,4.8735254600574597e-4
scale(proportion_15_to_44),0.0833307437558791,0.12759400455997397,0.6530929415003236,0.5136963624879135
scale(proportion_45_to_64),-0.020485073912117895,0.07947100152610424,-0.2577679092843577,0.7965860324042615
scale(days_since_social_distancing),0.14407063359158567,0.13707569331614006,1.0510297639663442,0.2932449200119173
scale(days_since_covid),0.9550007913577601,0.0812774271302061,11.74988954593571,7.071121402894054e-32
scale(hospital_beds/population),-0.05756884524866572,0.04666539962682437,-1.2336516071657895,0.21733275376677952
scale(proportion_obsese),-0.01802236773540732,0.04217560092440266,-0.42731739063330426,0.6691481677967668
scale(proportion_smoke),-0.1034445834077668,0.0858212966643052,-1.2053486422186799,0.22806873892025953
scale(summer_mean_maximum_temperature),0.0314078854704283,0.09163020786422531,0.34276780771868914,0.7317731461046274
scale(winter_mean_maximum_temperature),0.064978029505513,0.12911247473176105,0.5032668581444881,0.614776664240141
scale(summer_mean_relative_humidity),-0.12649066818578694,0.08708779453394558,-1.4524500116544194,0.14637651900255205
scale(winter_mean_relative_humidity),0.0031713973905407216,0.055294395926354316,0.05735477054066479,0.9542625915363877
