variable,estimate,standard_error,z_value,p_value
(Intercept),-11.206011701046942,0.29549853362748835,-37.9223936020389,0
PM2.5_concentration,0.06305541934592927,0.03489274457018707,1.8071212259927771,0.07074337978282315
"factor(population_density_quantile)(186,7.22e+04]",0.06344324430502879,0.13901017020882522,0.4563928251416602,0.6481075242340713
"factor(population_density_quantile)(33,67]",-0.06551805096296388,0.10564102191598392,-0.620195164479479,0.5351293046795289
"factor(population_density_quantile)(67,186]",-0.05188318841021142,0.1149400027632,-0.4513936589779055,0.6517058526699082
"factor(population_density_quantile)[0.0385,12.5]",0.21277681265704557,0.17235328555484464,1.234538767114699,0.21700221019358967
scale(proportion_poor),0.31951522348189526,0.09078985055491422,3.519283505028313,4.3271403753844957e-4
scale(log(median_house_value)),0.11623743478566077,0.08980626932109098,1.2943131438860742,0.19555727819792904
scale(log(median_household_income)),0.4585590700297928,0.12031898456716386,3.811194647955313,1.3829681329444594e-4
scale(proportion_owner_occupied),0.0012372605665126818,0.053816354482610726,0.02299041951852143,0.9816579150475611
scale(proportion_no_high_school),0.37573179247693345,0.06921898255131936,5.428161157936173,5.693761738844501e-8
scale(proportion_black),0.3949401027550628,0.04912606183169776,8.03931941681176,9.033881160078745e-16
scale(proportion_hispanic),-0.11021627411051821,0.06472835147646744,-1.7027511375844062,0.08861465049914209
scale(proportion_65_and_over),0.3095222872063373,0.08867866069731711,3.490380715861461,4.8233288134328804e-4
scale(proportion_15_to_44),0.08787109333179646,0.12899624540832308,0.6811910924511827,0.4957505835804808
scale(proportion_45_to_64),0.02596137197367177,0.07966244965293098,0.32589221253901757,0.7445059078379368
scale(days_since_social_distancing),0.12650609039046828,0.1375741051429377,0.919548706197508,0.35780864196232015
scale(days_since_covid),0.9453572484478735,0.08001229227397626,11.81515016731183,3.259659683078259e-32
scale(hospital_beds/population),-0.048699331029611145,0.04678272585521645,-1.0409682236201077,0.2978902962416344
scale(proportion_obsese),-0.019351605456696674,0.042709937004933106,-0.4530937485218373,0.650481236712923
scale(proportion_smoke),-0.1037819622323895,0.08636562969003737,-1.2016581434635354,0.22949600432121434
scale(summer_mean_maximum_temperature),0.011766252756260085,0.09189273920324753,0.12804333463425868,0.8981146791907417
scale(winter_mean_maximum_temperature),0.1004101668651289,0.1307774431683436,0.7677942344833554,0.4426094403687219
scale(summer_mean_relative_humidity),-0.15567763169842216,0.08799361829774008,-1.7691922972375418,0.07686178921013459
scale(winter_mean_relative_humidity),0.005991356949577761,0.05540042391979937,0.10814640982262466,0.9138795542927727
